metadata;file;mappings;datatype
asset:ew2:vh:noises:size;manifest.safe;//dataObject[starts-with(@ID, 'noises1aew2slcvh')]/byteStream/@size;Int64
asset:ew2:vh:rfis:size;manifest.safe;//dataObject[starts-with(@ID, 'rfis1aew2slcvh')]/byteStream/@size;Int64
asset:ew2:vh:calibration:size;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1aew2slcvh')]/byteStream/@size;Int64
asset:ew2:vv:product:size;manifest.safe;//dataObject[starts-with(@ID, 'products1aew2slcvv')]/byteStream/@size;Int64
asset:ew2:vv:noises:size;manifest.safe;//dataObject[starts-with(@ID, 'noises1aew2slcvv')]/byteStream/@size;Int64
asset:ew2:vv:rfis:size;manifest.safe;//dataObject[starts-with(@ID, 'rfis1aew2slcvv')]/byteStream/@size;Int64
asset:ew2:vv:calibration:size;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1aew2slcvv')]/byteStream/@size;Int64
asset:ew2:hh:product:size;manifest.safe;//dataObject[starts-with(@ID, 'products1aew2slchh')]/byteStream/@size;Int64
asset:ew2:hh:noises:size;manifest.safe;//dataObject[starts-with(@ID, 'noises1aew2slchh')]/byteStream/@size;Int64
asset:ew2:hh:rfis:size;manifest.safe;//dataObject[starts-with(@ID, 'rfis1aew2slchh')]/byteStream/@size;Int64
asset:ew2:hh:calibration:size;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1aew2slchh')]/byteStream/@size;Int64
asset:ew2:hv:product:size;manifest.safe;//dataObject[starts-with(@ID, 'products1aew2slchv')]/byteStream/@size;Int64
asset:ew2:hv:noises:size;manifest.safe;//dataObject[starts-with(@ID, 'noises1aew2slchv')]/byteStream/@size;Int64
asset:ew2:hv:rfis:size;manifest.safe;//dataObject[starts-with(@ID, 'rfis1aew2slchv')]/byteStream/@size;Int64
asset:ew2:hv:calibration:size;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1aew2slchv')]/byteStream/@size;Int64
asset:ew2:vh:measurement;manifest.safe;//dataObject[starts-with(@ID, 's1aew2slcvh')]/byteStream/fileLocation/@href;String
asset:ew2:vv:measurement;manifest.safe;//dataObject[starts-with(@ID, 's1aew2slcvv')]/byteStream/fileLocation/@href;String
asset:ew2:hh:measurement;manifest.safe;//dataObject[starts-with(@ID, 's1aew2slchh')]/byteStream/fileLocation/@href;String
asset:ew2:hv:measurement;manifest.safe;//dataObject[starts-with(@ID, 's1aew2slchv')]/byteStream/fileLocation/@href;String
asset:ew2:vh:measurement:checksum;manifest.safe;//dataObject[starts-with(@ID, 's1aew2slcvh')]/byteStream/checksum/text();String
asset:ew2:vv:measurement:checksum;manifest.safe;//dataObject[starts-with(@ID, 's1aew2slcvv')]/byteStream/checksum/text();String
asset:ew2:hh:measurement:checksum;manifest.safe;//dataObject[starts-with(@ID, 's1aew2slchh')]/byteStream/checksum/text();String
