metadata;file;mappings;datatype
beginningDateTime;Copernicus*.xml;/gmd:MD_Metadata/gmd:contentInfo/tsxx:TSXX_addMD/tsxx:acquisitionInfo/tsxx:temporalCoverage/tsxx:tsxx_startTime;DateTimeOffset
endingDateTime;Copernicus*.xml;/gmd:MD_Metadata/gmd:contentInfo/tsxx:TSXX_addMD/tsxx:acquisitionInfo/tsxx:temporalCoverage/tsxx:tsxx_stopTime;DateTimeOffset
sensor;Copernicus*.xml;/gmd:MD_Metadata/gmd:contentInfo/tsxx:TSXX_addMD/tsxx:acquisitionInfo/tsxx:sensor;String
polarisation;Copernicus*.xml;/gmd:MD_Metadata/gmd:contentInfo/tsxx:TSXX_addMD/tsxx:acquisitionInfo/tsxx:polarisation;String
polarisationMode;Copernicus*.xml;/gmd:MD_Metadata/gmd:contentInfo/tsxx:TSXX_addMD/tsxx:acquisitionInfo/tsxx:polarisationMode;String
coordinates;Copernicus*.xml;WKT(/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:extent/gmd:EX_Extent/gmd:geographicElement/gmd:EX_BoundingPolygon/gmd:polygon/gml:Polygon/gml:exterior/gml:LinearRing/gml:coordinates, 'lonlat');String
resolution;Copernicus*.xml;/gmd:MD_Metadata/gmd:contentInfo/tsxx:TSXX_addMD/tsxx:DEMInfo/tsxx:productVariantInfo/tsxx:resolutionVariant;Int
processingVersion;Copernicus*.xml;/gmd:MD_Metadata/gmd:contentInfo/tsxx:TSXX_addMD/tsxx:DEMInfo/tsxx:processingDetails/tsxx:dataProcessing/tsxx:generationInfo/tsxx:generationSystem/@version;String
projCode;static;4326;String
