metadata;file;mappings;datatype
groundSetting;DIM*.xml;//Processing_Information/Product_Settings/Geometric_Settings/GROUND_SETTING/text();Boolean
groundDesc;DIM*.xml;//Processing_Information/Product_Settings/Geometric_Settings/GROUND_DESC/text();String
verticalSetting;DIM*.xml;//Processing_Information/Product_Settings/Geometric_Settings/VERTICAL_SETTING/text();Boolean
dataFileOrganisation;DIM*.xml;//Raster_Data/Data_Access/DATA_FILE_ORGANISATION/text();String
dataFileFormat;DIM*.xml;//Raster_Data/Data_Access/DATA_FILE_FORMAT/text();String
dataFileTiles;DIM*.xml;//Raster_Data/Data_Access/DATA_FILE_TILES/text();Boolean
nbands;DIM*.xml;//Raster_Data/Raster_Dimensions/NBANDS/text();Int64

dataType;DIM*.xml;//Raster_Encoding/DATA_TYPE/text();String
nbits;DIM*.xml;//Raster_Encoding/NBITS/text();Int64
sign;DIM*.xml;//Raster_Encoding/SIGN/text();String
compressionType;DIM*.xml;//Raster_Encoding/COMPRESSION_TYPE/text();String
nodata;DIM*.xml;/Dimap_Document/Raster_Data/Raster_Display/Special_Value/SPECIAL_VALUE_COUNT;Int64
raster_data_type;DIM*.xml;//Raster_Encoding/DATA_TYPE/text();String


redChannel;DIM*.xml;//Raster_Display/Band_Display_Order/RED_CHANNEL/text();String
greenChannel;DIM*.xml;//Raster_Display/Band_Display_Order/GREEN_CHANNEL/text();String
blueChannel;DIM*.xml;//Raster_Display/Band_Display_Order/BLUE_CHANNEL/text();String
alphaChannel;DIM*.xml;//Raster_Display/Band_Display_Order/ALPHA_CHANNEL/text();String
specialValueText1;DIM*.xml;//Raster_Display/Special_Value[1]/SPECIAL_VALUE_TEXT/text();String
specialValueCount1;DIM*.xml;//Raster_Display/Special_Value[1]/SPECIAL_VALUE_COUNT/text();Int64
specialValueText2;DIM*.xml;//Raster_Display/Special_Value[2]/SPECIAL_VALUE_TEXT/text();String
specialValueCount2;DIM*.xml;//Raster_Display/Special_Value[2]/SPECIAL_VALUE_COUNT/text();Int64
histogramBandId1;DIM*.xml;//Radiometric_Data/Histogram_Band_List/Histogram_Band[1]/BAND_ID/text();String
histogramMin1;DIM*.xml;//Radiometric_Data/Histogram_Band_List/Histogram_Band[1]/MIN/text();Int64
histogramMax1;DIM*.xml;//Radiometric_Data/Histogram_Band_List/Histogram_Band[1]/MAX/text();Int64
histogramMean1;DIM*.xml;//Radiometric_Data/Histogram_Band_List/Histogram_Band[1]/MEAN/text();Float
histogramStdev1;DIM*.xml;//Radiometric_Data/Histogram_Band_List/Histogram_Band[1]/STDV/text();Float
histogramBandId2;DIM*.xml;//Radiometric_Data/Histogram_Band_List/Histogram_Band[2]/BAND_ID/text();String
histogramMin2;DIM*.xml;//Radiometric_Data/Histogram_Band_List/Histogram_Band[2]/MIN/text();Int64
histogramMax2;DIM*.xml;//Radiometric_Data/Histogram_Band_List/Histogram_Band[2]/MAX/text();Int64
histogramMean2;DIM*.xml;//Radiometric_Data/Histogram_Band_List/Histogram_Band[2]/MEAN/text();Float
histogramStdev2;DIM*.xml;//Radiometric_Data/Histogram_Band_List/Histogram_Band[2]/STDV/text();Float
histogramBandId3;DIM*.xml;//Radiometric_Data/Histogram_Band_List/Histogram_Band[3]/BAND_ID/text();String
histogramMin3;DIM*.xml;//Radiometric_Data/Histogram_Band_List/Histogram_Band[3]/MIN/text();Int64
histogramMax3;DIM*.xml;//Radiometric_Data/Histogram_Band_List/Histogram_Band[3]/MAX/text();Int64
histogramMean3;DIM*.xml;//Radiometric_Data/Histogram_Band_List/Histogram_Band[3]/MEAN/text();Float
histogramStdev3;DIM*.xml;//Radiometric_Data/Histogram_Band_List/Histogram_Band[3]/STDV/text();Float
histogramBandId4;DIM*.xml;//Radiometric_Data/Histogram_Band_List/Histogram_Band[4]/BAND_ID/text();String
histogramMin4;DIM*.xml;//Radiometric_Data/Histogram_Band_List/Histogram_Band[4]/MIN/text();Int64
histogramMax4;DIM*.xml;//Radiometric_Data/Histogram_Band_List/Histogram_Band[4]/MAX/text();Int64
histogramMean4;DIM*.xml;//Radiometric_Data/Histogram_Band_List/Histogram_Band[4]/MEAN/text();Float
histogramStdev4;DIM*.xml;//Radiometric_Data/Histogram_Band_List/Histogram_Band[4]/STDV/text();Float

measureDesc1;DIM*.xml;//Radiometric_Data/Radiometric_Calibration/Band_Spectral_Range[1]/MEASURE_DESC/text();String
measureUnit1;DIM*.xml;//Radiometric_Data/Radiometric_Calibration/Band_Spectral_Range[1]/MEASURE_UNIT/text();String

