metadata;file;mappings;datatype
asset:B8A:view:azimuth;GRANULE/*/MTD_TL.xml;//Mean_Viewing_Incidence_Angle[@bandId='8']/AZIMUTH_ANGLE/text();Double
asset:B09:view:azimuth;GRANULE/*/MTD_TL.xml;//Mean_Viewing_Incidence_Angle[@bandId='9']/AZIMUTH_ANGLE/text();Double
asset:B10:view:azimuth;GRANULE/*/MTD_TL.xml;//Mean_Viewing_Incidence_Angle[@bandId='10']/AZIMUTH_ANGLE/text();Double
asset:B11:view:azimuth;GRANULE/*/MTD_TL.xml;//Mean_Viewing_Incidence_Angle[@bandId='11']/AZIMUTH_ANGLE/text();Double
asset:B12:view:azimuth;GRANULE/*/MTD_TL.xml;//Mean_Viewing_Incidence_Angle[@bandId='12']/AZIMUTH_ANGLE/text();Double
asset:B01:view:incidence_angle;GRANULE/*/MTD_TL.xml;//Mean_Viewing_Incidence_Angle[@bandId='0']/ZENITH_ANGLE/text();Double
asset:B02:view:incidence_angle;GRANULE/*/MTD_TL.xml;//Mean_Viewing_Incidence_Angle[@bandId='1']/ZENITH_ANGLE/text();Double
asset:B03:view:incidence_angle;GRANULE/*/MTD_TL.xml;//Mean_Viewing_Incidence_Angle[@bandId='2']/ZENITH_ANGLE/text();Double
asset:B04:view:incidence_angle;GRANULE/*/MTD_TL.xml;//Mean_Viewing_Incidence_Angle[@bandId='3']/ZENITH_ANGLE/text();Double
asset:B05:view:incidence_angle;GRANULE/*/MTD_TL.xml;//Mean_Viewing_Incidence_Angle[@bandId='4']/ZENITH_ANGLE/text();Double
asset:B06:view:incidence_angle;GRANULE/*/MTD_TL.xml;//Mean_Viewing_Incidence_Angle[@bandId='5']/ZENITH_ANGLE/text();Double
asset:B07:view:incidence_angle;GRANULE/*/MTD_TL.xml;//Mean_Viewing_Incidence_Angle[@bandId='6']/ZENITH_ANGLE/text();Double
asset:B08:view:incidence_angle;GRANULE/*/MTD_TL.xml;//Mean_Viewing_Incidence_Angle[@bandId='7']/ZENITH_ANGLE/text();Double
asset:B8A:view:incidence_angle;GRANULE/*/MTD_TL.xml;//Mean_Viewing_Incidence_Angle[@bandId='8']/ZENITH_ANGLE/text();Double
asset:B09:view:incidence_angle;GRANULE/*/MTD_TL.xml;//Mean_Viewing_Incidence_Angle[@bandId='9']/ZENITH_ANGLE/text();Double
asset:B10:view:incidence_angle;GRANULE/*/MTD_TL.xml;//Mean_Viewing_Incidence_Angle[@bandId='10']/ZENITH_ANGLE/text();Double
asset:B11:view:incidence_angle;GRANULE/*/MTD_TL.xml;//Mean_Viewing_Incidence_Angle[@bandId='11']/ZENITH_ANGLE/text();Double
asset:B12:view:incidence_angle;GRANULE/*/MTD_TL.xml;//Mean_Viewing_Incidence_Angle[@bandId='12']/ZENITH_ANGLE/text();Double
asset:B01:eo:center_wavelength;MTD_MSIL*.xml;//Spectral_Information[@bandId='0']/Wavelength/CENTRAL/text();Double
asset:B02:eo:center_wavelength;MTD_MSIL*.xml;//Spectral_Information[@bandId='1']/Wavelength/CENTRAL/text();Double
asset:B03:eo:center_wavelength;MTD_MSIL*.xml;//Spectral_Information[@bandId='2']/Wavelength/CENTRAL/text();Double
asset:B04:eo:center_wavelength;MTD_MSIL*.xml;//Spectral_Information[@bandId='3']/Wavelength/CENTRAL/text();Double
asset:B05:eo:center_wavelength;MTD_MSIL*.xml;//Spectral_Information[@bandId='4']/Wavelength/CENTRAL/text();Double
asset:B06:eo:center_wavelength;MTD_MSIL*.xml;//Spectral_Information[@bandId='5']/Wavelength/CENTRAL/text();Double
asset:B07:eo:center_wavelength;MTD_MSIL*.xml;//Spectral_Information[@bandId='6']/Wavelength/CENTRAL/text();Double
asset:B08:eo:center_wavelength;MTD_MSIL*.xml;//Spectral_Information[@bandId='7']/Wavelength/CENTRAL/text();Double
asset:B8A:eo:center_wavelength;MTD_MSIL*.xml;//Spectral_Information[@bandId='8']/Wavelength/CENTRAL/text();Double
asset:B09:eo:center_wavelength;MTD_MSIL*.xml;//Spectral_Information[@bandId='9']/Wavelength/CENTRAL/text();Double
asset:B10:eo:center_wavelength;MTD_MSIL*.xml;//Spectral_Information[@bandId='10']/Wavelength/CENTRAL/text();Double
asset:B11:eo:center_wavelength;MTD_MSIL*.xml;//Spectral_Information[@bandId='11']/Wavelength/CENTRAL/text();Double
asset:B12:eo:center_wavelength;MTD_MSIL*.xml;//Spectral_Information[@bandId='12']/Wavelength/CENTRAL/text();Double
asset:B01:eo:full_width_half_max;MTD_MSIL*.xml;//Spectral_Information[@bandId='0']/Wavelength/MAX/text();Double
asset:B02:eo:full_width_half_max;MTD_MSIL*.xml;//Spectral_Information[@bandId='1']/Wavelength/MAX/text();Double
asset:B03:eo:full_width_half_max;MTD_MSIL*.xml;//Spectral_Information[@bandId='2']/Wavelength/MAX/text();Double
asset:B04:eo:full_width_half_max;MTD_MSIL*.xml;//Spectral_Information[@bandId='3']/Wavelength/MAX/text();Double
asset:B05:eo:full_width_half_max;MTD_MSIL*.xml;//Spectral_Information[@bandId='4']/Wavelength/MAX/text();Double
asset:B06:eo:full_width_half_max;MTD_MSIL*.xml;//Spectral_Information[@bandId='5']/Wavelength/MAX/text();Double
asset:B07:eo:full_width_half_max;MTD_MSIL*.xml;//Spectral_Information[@bandId='6']/Wavelength/MAX/text();Double
asset:B08:eo:full_width_half_max;MTD_MSIL*.xml;//Spectral_Information[@bandId='7']/Wavelength/MAX/text();Double
asset:B8A:eo:full_width_half_max;MTD_MSIL*.xml;//Spectral_Information[@bandId='8']/Wavelength/MAX/text();Double
asset:B09:eo:full_width_half_max;MTD_MSIL*.xml;//Spectral_Information[@bandId='9']/Wavelength/MAX/text();Double
asset:B10:eo:full_width_half_max;MTD_MSIL*.xml;//Spectral_Information[@bandId='10']/Wavelength/MAX/text();Double
asset:B11:eo:full_width_half_max;MTD_MSIL*.xml;//Spectral_Information[@bandId='11']/Wavelength/MAX/text();Double
asset:B12:eo:full_width_half_max;MTD_MSIL*.xml;//Spectral_Information[@bandId='12']/Wavelength/MAX/text();Double
asset:B01:eo:gsd;MTD_MSIL*.xml;//Spectral_Information[@bandId='0']/RESOLUTION/text();Double
asset:B02:eo:gsd;MTD_MSIL*.xml;//Spectral_Information[@bandId='1']/RESOLUTION/text();Double
asset:B03:eo:gsd;MTD_MSIL*.xml;//Spectral_Information[@bandId='2']/RESOLUTION/text();Double
asset:B04:eo:gsd;MTD_MSIL*.xml;//Spectral_Information[@bandId='3']/RESOLUTION/text();Double
asset:B05:eo:gsd;MTD_MSIL*.xml;//Spectral_Information[@bandId='4']/RESOLUTION/text();Double
asset:B06:eo:gsd;MTD_MSIL*.xml;//Spectral_Information[@bandId='5']/RESOLUTION/text();Double
asset:B07:eo:gsd;MTD_MSIL*.xml;//Spectral_Information[@bandId='6']/RESOLUTION/text();Double
asset:B08:eo:gsd;MTD_MSIL*.xml;//Spectral_Information[@bandId='7']/RESOLUTION/text();Double
asset:B8A:eo:gsd;MTD_MSIL*.xml;//Spectral_Information[@bandId='8']/RESOLUTION/text();Double
asset:B09:eo:gsd;MTD_MSIL*.xml;//Spectral_Information[@bandId='9']/RESOLUTION/text();Double
asset:B10:eo:gsd;MTD_MSIL*.xml;//Spectral_Information[@bandId='10']/RESOLUTION/text();Double
asset:B11:eo:gsd;MTD_MSIL*.xml;//Spectral_Information[@bandId='11']/RESOLUTION/text();Double
asset:B12:eo:gsd;MTD_MSIL*.xml;//Spectral_Information[@bandId='12']/RESOLUTION/text();Double
asset:proj:shape:10:NROWS;GRANULE/*/MTD_TL.xml;//Size[@resolution='10']/NROWS/text();Int64
asset:proj:shape:10:NCOLS;GRANULE/*/MTD_TL.xml;//Size[@resolution='10']/NCOLS/text();Int64
asset:proj:shape:20:NROWS;GRANULE/*/MTD_TL.xml;//Size[@resolution='20']/NROWS/text();Int64
asset:proj:shape:20:NCOLS;GRANULE/*/MTD_TL.xml;//Size[@resolution='20']/NCOLS/text();Int64
asset:proj:shape:60:NROWS;GRANULE/*/MTD_TL.xml;//Size[@resolution='60']/NROWS/text();Int64
asset:proj:shape:60:NCOLS;GRANULE/*/MTD_TL.xml;//Size[@resolution='60']/NCOLS/text();Int64
asset:proj:shape:10:NROWS;GRANULE/*/MTD_TL.xml;//Size[@resolution='10']/NROWS/text();Int64
asset:proj:shape:10:NCOLS;GRANULE/*/MTD_TL.xml;//Size[@resolution='10']/NCOLS/text();Int64
asset:proj:shape:20:NROWS;GRANULE/*/MTD_TL.xml;//Size[@resolution='20']/NROWS/text();Int64
asset:proj:shape:20:NCOLS;GRANULE/*/MTD_TL.xml;//Size[@resolution='20']/NCOLS/text();Int64
asset:proj:shape:60:NROWS;GRANULE/*/MTD_TL.xml;//Size[@resolution='60']/NROWS/text();Int64
asset:proj:shape:60:NCOLS;GRANULE/*/MTD_TL.xml;//Size[@resolution='60']/NCOLS/text();Int64
asset:proj:transform:10:ULX;GRANULE/*/MTD_TL.xml;//Geoposition[@resolution='10']/ULX/text();Int64
asset:proj:transform:10:ULY;GRANULE/*/MTD_TL.xml;//Geoposition[@resolution='10']/ULY/text();Int64
asset:proj:transform:20:ULX;GRANULE/*/MTD_TL.xml;//Geoposition[@resolution='20']/ULX/text();Int64
asset:proj:transform:20:ULY;GRANULE/*/MTD_TL.xml;//Geoposition[@resolution='20']/ULY/text();Int64
asset:proj:transform:60:ULX;GRANULE/*/MTD_TL.xml;//Geoposition[@resolution='60']/ULX/text();Int64
asset:proj:transform:60:ULY;GRANULE/*/MTD_TL.xml;//Geoposition[@resolution='60']/ULY/text();Int64
